Local Government Areas - 2011,,Index of Relative Socio-economic Disadvantage,Index of Relative Socio-economic Advantage and Disadvantage
New South Wales,  Albury (C),979,967
,  Armidale Dumaresq (A),987,985
,  Ashfield (A),1015,1031
,  Auburn (C),917,944
,  Ballina (A),989,980
,  Balranald (A),946,929
,  Bankstown (C),932,946
,  Bathurst Regional (A),991,985
,  Bega Valley (A),969,951
,  Bellingen (A),950,942
,  Berrigan (A),954,938
,  Blacktown (C),968,974
,  Bland (A),975,959
,  Blayney (A),982,973
,  Blue Mountains (C),1039,1038
,  Bogan (A),946,934
,  Bombala (A),952,936
,  Boorowa (A),964,954
,  Botany Bay (C),976,985
,  Bourke (A),933,934
,  Brewarrina (A),788,816
,  Broken Hill (C),900,888
,  Burwood (A),996,1022
,  Byron (A),977,979
,  Cabonne (A),1000,993
,  Camden (A),1047,1056
,  Campbelltown (C),945,943
,  Canada Bay (A),1067,1086
,  Canterbury (C),922,939
,  Carrathool (A),969,959
,  Central Darling (A),824,841
,  Cessnock (C),936,922
,  Clarence Valley (A),919,907
,  Cobar (A),957,944
,  Coffs Harbour (C),958,950
,  Conargo (A),1040,1039
,  Coolamon (A),975,960
,  Cooma-Monaro (A),991,976
,  Coonamble (A),880,887
,  Cootamundra (A),942,928
,  Corowa Shire (A),968,943
,  Cowra (A),928,919
,  Deniliquin (A),942,926
,  Dubbo (C),977,965
,  Dungog (A),989,978
,  Eurobodalla (A),956,940
,  Fairfield (C),854,886
,  Forbes (A),947,936
,  Gilgandra (A),911,911
,  Glen Innes Severn (A),922,914
,  Gloucester (A),951,937
,  Gosford (C),1006,1001
,  Goulburn Mulwaree (A),951,944
,  Great Lakes (A),932,920
,  Greater Hume Shire (A),989,976
,  Greater Taree (C),914,906
,  Griffith (C),964,951
,  Gundagai (A),962,945
,  Gunnedah (A),947,936
,  Guyra (A),931,921
,  Gwydir (A),940,934
,  Harden (A),942,933
,  Hawkesbury (C),1020,1017
,  Hay (A),927,915
,  Holroyd (C),966,972
,  Hornsby (A),1085,1106
,  Hunters Hill (A),1092,1123
,  Hurstville (C),1007,1018
,  Inverell (A),921,912
,  Jerilderie (A),998,983
,  Junee (A),942,932
,  Kempsey (A),880,876
,  Kiama (A),1055,1050
,  Kogarah (C),1036,1051
,  Ku-ring-gai (A),1121,1155
,  Kyogle (A),907,902
,  Lachlan (A),938,934
,  Lake Macquarie (C),995,985
,  Lane Cove (A),1107,1130
,  Leeton (A),954,938
,  Leichhardt (A),1079,1105
,  Lismore (C),953,946
,  Lithgow (C),924,916
,  Liverpool (C),951,968
,  Liverpool Plains (A),921,913
,  Lockhart (A),999,983
,  Maitland (C),993,986
,  Manly (A),1099,1125
,  Marrickville (A),1022,1043
,  Mid-Western Regional (A),962,951
,  Moree Plains (A),915,917
,  Mosman (A),1111,1138
,  Murray (A),988,967
,  Murrumbidgee (A),928,919
,  Muswellbrook (A),968,959
,  Nambucca (A),900,891
,  Narrabri (A),953,940
,  Narrandera (A),925,912
,  Narromine (A),927,922
,  Newcastle (C),994,991
,  North Sydney (A),1105,1126
,  Oberon (A),976,960
,  Orange (C),977,971
,  Palerang (A),1082,1091
,  Parkes (A),944,933
,  Parramatta (C),984,996
,  Penrith (C),996,989
,  Pittwater (A),1094,1114
,  Port Macquarie-Hastings (A),969,957
,  Port Stephens (A),980,970
,  Queanbeyan (C),1046,1051
,  Randwick (C),1043,1063
,  Richmond Valley (A),900,888
,  Rockdale (C),991,1001
,  Ryde (C),1050,1067
,  Shellharbour (C),969,961
,  Shoalhaven (C),955,944
,  Singleton (A),1013,1007
,  Snowy River (A),1050,1031
,  Strathfield (A),1022,1044
,  Sutherland Shire (A),1075,1083
,  Sydney (C),1020,1051
,  Tamworth Regional (A),960,949
,  Temora (A),956,937
,  Tenterfield (A),915,907
,  The Hills Shire (A),1101,1128
,  Tumbarumba (A),954,944
,  Tumut Shire (A),951,936
,  Tweed (A),959,949
,  Upper Hunter Shire (A),981,967
,  Upper Lachlan Shire (A),1006,996
,  Uralla (A),985,974
,  Urana (A),937,925
,  Wagga Wagga (C),998,987
,  Wakool (A),976,962
,  Walcha (A),974,965
,  Walgett (A),856,864
,  Warren (A),941,938
,  Warringah (A),1077,1095
,  Warrumbungle Shire (A),911,910
,  Waverley (A),1080,1101
,  Weddin (A),945,939
,  Wellington (A),893,899
,  Wentworth (A),957,945
,  Willoughby (C),1083,1111
,  Wingecarribee (A),1024,1019
,  Wollondilly (A),1034,1033
,  Wollongong (C),980,981
,  Woollahra (A),1107,1130
,  Wyong (A),952,942
,  Yass Valley (A),1061,1064
,  Young (A),947,936
,  Unincorporated NSW,1022,1008
Victoria,  Alpine (S),987,970
,  Ararat (RC),951,938
,  Ballarat (C),981,969
,  Banyule (C),1047,1044
,  Bass Coast (S),978,960
,  Baw Baw (S),998,983
,  Bayside (C),1091,1108
,  Benalla (RC),957,945
,  Boroondara (C),1098,1114
,  Brimbank (C),926,932
,  Buloke (S),968,951
,  Campaspe (S),964,947
,  Cardinia (S),1024,1008
,  Casey (C),1006,997
,  Central Goldfields (S),905,888
,  Colac-Otway (S),965,946
,  Corangamite (S),986,970
,  Darebin (C),990,995
,  East Gippsland (S),958,942
,  Frankston (C),997,983
,  Gannawarra (S),959,940
,  Glen Eira (C),1069,1074
,  Glenelg (S),960,943
,  Golden Plains (S),1030,1011
,  Greater Bendigo (C),983,967
,  Greater Dandenong (C),895,905
,  Greater Geelong (C),993,980
,  Greater Shepparton (C),952,942
,  Hepburn (S),980,967
,  Hindmarsh (S),947,929
,  Hobsons Bay (C),1002,1000
,  Horsham (RC),987,971
,  Hume (C),952,950
,  Indigo (S),1010,997
,  Kingston (C),1038,1034
,  Knox (C),1049,1039
,  Latrobe (C),940,929
,  Loddon (S),934,926
,  Macedon Ranges (S),1055,1047
,  Manningham (C),1071,1081
,  Mansfield (S),1012,992
,  Maribyrnong (C),974,988
,  Maroondah (C),1044,1034
,  Melbourne (C),1026,1051
,  Melton (S),1002,993
,  Mildura (RC),935,924
,  Mitchell (S),996,979
,  Moira (S),952,936
,  Monash (C),1045,1054
,  Moonee Valley (C),1027,1031
,  Moorabool (S),1008,995
,  Moreland (C),998,1000
,  Mornington Peninsula (S),1023,1011
,  Mount Alexander (S),983,970
,  Moyne (S),1017,1005
,  Murrindindi (S),997,982
,  Nillumbik (S),1098,1099
,  Northern Grampians (S),938,926
,  Port Phillip (C),1066,1077
,  Pyrenees (S),940,930
,  Queenscliffe (B),1053,1047
,  South Gippsland (S),1000,981
,  Southern Grampians (S),994,978
,  Stonnington (C),1084,1098
,  Strathbogie (S),970,956
,  Surf Coast (S),1066,1060
,  Swan Hill (RC),950,939
,  Towong (S),996,982
,  Wangaratta (RC),981,965
,  Warrnambool (C),989,970
,  Wellington (S),974,961
,  West Wimmera (S),986,977
,  Whitehorse (C),1051,1057
,  Whittlesea (C),989,983
,  Wodonga (RC),975,963
,  Wyndham (C),1013,1007
,  Yarra (C),1019,1042
,  Yarra Ranges (S),1037,1022
,  Yarriambiack (S),952,943
,  Unincorporated Vic,1019,1017
Queensland,  Aurukun (S),483,586
,  Balonne (S),959,950
,  Banana (S),997,980
,  Barcaldine (R),992,974
,  Barcoo (S),953,947
,  Blackall Tambo (R),961,945
,  Boulia (S),890,886
,  Brisbane (C),1048,1057
,  Bulloo (S),1008,985
,  Bundaberg (R),930,917
,  Burdekin (S),969,944
,  Burke (S),932,915
,  Cairns (R),981,975
,  Carpentaria (S),869,865
,  Cassowary Coast (R),944,926
,  Central Highlands (R),1033,1024
,  Charters Towers (R),948,931
,  Cherbourg (S),452,556
,  Cloncurry (S),943,934
,  Cook (S),902,898
,  Croydon (S),947,938
,  Diamantina (S),931,917
,  Doomadgee (S),550,617
,  Etheridge (S),963,937
,  Flinders (S),955,943
,  Fraser Coast (R),917,908
,  Gladstone (R),1016,1007
,  Gold Coast (C),1014,1016
,  Goondiwindi (R),978,963
,  Gympie (R),929,916
,  Hinchinbrook (S),970,944
,  Hope Vale (S),621,678
,  Ipswich (C),966,960
,  Isaac (R),1047,1028
,  Kowanyama (S),585,644
,  Lockhart River (S),658,713
,  Lockyer Valley (R),948,938
,  Logan (C),971,965
,  Longreach (R),998,983
,  Mackay (R),1018,1007
,  McKinlay (S),1023,1001
,  Mapoon (S),699,740
,  Maranoa (R),1001,989
,  Moreton Bay (R),1004,999
,  Mornington (S),604,669
,  Mount Isa (C),995,986
,  Murweh (S),961,947
,  Napranum (S),535,602
,  North Burnett (R),928,917
,  Northern Peninsula Area (R),705,750
,  Palm Island (S),593,650
,  Paroo (S),905,905
,  Pormpuraaw (S),619,687
,  Quilpie (S),949,941
,  Redland (C),1029,1030
,  Richmond (S),983,964
,  Rockhampton (R),979,966
,  Scenic Rim (R),989,979
,  Somerset (R),942,932
,  South Burnett (R),924,914
,  Southern Downs (R),944,929
,  Sunshine Coast (R),1007,1001
,  Tablelands (R),945,932
,  Toowoomba (R),993,980
,  Torres (S),899,910
,  Torres Strait Island (R),663,729
,  Townsville (C),1011,1002
,  Weipa (T),1064,1049
,  Western Downs (R),978,963
,  Whitsunday (R),982,966
,  Winton (S),944,931
,  Woorabinda (S),510,592
,  Wujal Wujal (S),655,697
,  Yarrabah (S),441,554
South Australia,  Adelaide (C),1013,1036
,  Adelaide Hills (DC),1081,1077
,  Alexandrina (DC),987,969
,  Anangu Pitjantjatjara (AC),593,672
,  Barossa (DC),1017,997
,  Barunga West (DC),954,940
,  Berri and Barmera (DC),904,899
,  Burnside (C),1081,1090
,  Campbelltown (C),1011,1003
,  Ceduna (DC),932,922
,  Charles Sturt (C),976,971
,  Clare and Gilbert Valleys (DC),1002,984
,  Cleve (DC),1018,995
,  Coober Pedy (DC),870,869
,  Copper Coast (DC),927,910
